prevHome,prevWin,prevRankW,prevTopTenW,prevOP,ranked,home,neutral ,T50KP,T15KP,T30NET,hotStreak,longRest,oppRanked,oppT50KP,oppT15KP,oppT30NET,oppQ1,oppQ2,oppQ3,oppQ4,wknd,Result,pointsFor,pointsAgainst,coveredSpread,Over,Team,Opp
-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,86,68,1,1,AUB,OU
1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,-1,1,-1,1,1,-1,-1,-1,1,0,78,87,0,1,BU,UA
-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,87,78,1,1,UA,BU
1,1,-1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,80,62,1,0,UK,KU
1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,1,0,62,80,0,0,KU,UK
-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,0,50,76,0,0,MSU,TTU
-1,-1,-1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,1,76,50,1,0,TTU,MSU
1,1,-1,-1,-1,1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,0,51,52,1,0,TEN,UT
-1,1,-1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,52,51,0,0,UT,TEN
1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,-1,-1,1,-1,-1,1,-1,-1,-1,1,0,68,77,0,1,LSU,TCU
1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,77,68,1,1,TCU,LSU
1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,0,50,67,0,0,MIZ,ISU
-1,1,-1,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,67,50,1,0,ISU,MIZ
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,-1,-1,-1,1,0,68,77,0,1,WVU,ARK
-1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,1,77,68,1,1,ARK,WVU
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,0,56,67,0,0,KSU,MIS
