Trial,A,B,C,D,E,Distance
1,1,-1,-1,-1,-1,15
5,-1,1,-1,-1,-1,35
2,-1,-1,1,-1,-1,17
3,-1,-1,-1,1,-1,44
4,-1,-1,-1,-1,1,0
